127.0.0.1 - - [13/Sep/2016:10:05:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:14 +0530] "GET /PetWorld/ HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:14 +0530] "GET /PetWorld/resources/css/footer.css;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:14 +0530] "GET /PetWorld/resources/css/bootstrap.min.css;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:15 +0530] "GET /PetWorld/resources/image/bird.jpg;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 55280
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:15 +0530] "GET /PetWorld/resources/image/img.jpg;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:15 +0530] "GET /PetWorld/resources/image/pets4.jpg;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 59357
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:15 +0530] "GET /PetWorld/resources/image/pets2.jpg;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 184828
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:15 +0530] "GET /PetWorld/resources/image/pets3.jpg;jsessionid=619C57A6A6A3C8CAED2DC9665520300D HTTP/1.1" 200 818593
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:05:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:07:32 +0530] "GET /PetWorld/form HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:07:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:08:00 +0530] "GET /PetWorld/list HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [13/Sep/2016:10:08:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
